turnout,treated,dormid,treatment_group
0,0,1010101,0
0,0,1010101,0
0,0,1010101,0
0,0,1010102,0
0,0,1010102,0
0,1,1010103,1
0,1,1010103,1
0,1,1010103,1
1,1,1010103,1
0,1,1010104,1
0,1,1010104,1
0,1,1010104,1
0,1,1010104,1
0,0,1010105,0
0,0,1010105,0
0,0,1010105,0
0,0,1010105,0
0,1,1010106,1
0,1,1010106,1
0,1,1010106,1
1,1,1010106,1
0,1,1010108,1
0,1,1010108,1
0,1,1010108,1
0,1,1010108,1
0,1,1010109,1
1,1,1010109,1
0,1,1010109,1
0,1,1010109,1
1,1,1010110,1
1,1,1010110,1
0,1,1010110,1
1,1,1010110,1
1,0,1010111,0
1,0,1010111,0
1,0,1010111,0
1,0,1010111,0
1,1,1010112,1
1,1,1010112,1
0,1,1010112,1
0,0,1010113,0
0,0,1010113,0
1,0,1010113,0
1,0,1010113,0
0,1,1010114,1
1,1,1010114,1
1,1,1010114,1
0,1,1010114,1
0,1,1010116,1
1,1,1010116,1
0,1,1010116,1
1,1,1010116,1
1,1,1010118,1
1,1,1010118,1
1,1,1010118,1
1,1,1010124,1
0,1,1010124,1
0,1,1010124,1
0,1,1010124,1
0,0,1010125,0
1,0,1010125,0
1,0,1010125,0
1,0,1010125,0
0,1,1010126,1
1,1,1010126,1
1,1,1010126,1
1,1,1010126,1
1,0,1010127,0
1,0,1010127,0
0,0,1010127,0
1,0,1010127,0
1,1,1010128,1
1,1,1010128,1
1,1,1010128,1
1,1,1010128,1
1,1,1010129,1
1,1,1010129,1
1,1,1010129,1
1,1,1010129,1
0,1,1010130,1
0,1,1010130,1
0,1,1010130,1
1,1,1010132,1
1,1,1010132,1
1,1,1010132,1
1,1,1010132,1
1,1,1010133,1
0,1,1010133,1
1,1,1010133,1
1,1,1010133,1
1,1,1010134,1
0,1,1010134,1
1,1,1010134,1
1,1,1010134,1
0,1,1020233,1
0,1,1020233,1
1,1,1020233,1
1,1,1020233,1
1,1,1020234,1
0,1,1020234,1
1,1,1020234,1
1,1,1020234,1
0,1,1020235,1
0,1,1020235,1
1,1,1020235,1
0,1,1020235,1
0,0,1020236,0
1,0,1020236,0
0,0,1020236,0
0,0,1020236,0
1,0,2020227,0
1,0,2020227,0
1,0,2020227,0
1,0,2020227,0
1,1,2020228,1
1,1,2020228,1
1,1,2020228,1
1,1,2020228,1
1,0,2020229,0
1,0,2020229,0
1,0,2020229,0
1,0,2020229,0
1,1,2020230,1
1,1,2020230,1
1,1,2020230,1
1,1,2020230,1
1,1,2020231,1
1,1,2020231,1
1,1,2020231,1
1,1,2020231,1
1,0,2020250,0
1,0,2020250,0
1,0,2020250,0
1,0,2020250,0
1,1,2020252,1
1,1,2020252,1
1,1,2020252,1
1,1,2020252,1
1,1,2020256,1
1,1,2020256,1
0,1,2020256,1
1,1,2020256,1
1,0,2020258,0
1,0,2020258,0
0,0,2020258,0
1,0,2020258,0
0,0,2020260,0
0,0,2020260,0
0,0,2020260,0
1,0,2020260,0
1,1,2020261,1
1,1,2020261,1
1,1,2020261,1
1,0,2020262,1
1,0,2020262,1
1,0,2020262,1
1,1,2020312,1
1,1,2020312,1
1,1,2020312,1
1,1,2020312,1
1,1,2030313,1
1,1,2030313,1
0,1,2030313,1
1,1,2030313,1
1,0,2030314,0
0,0,2030314,0
1,0,2030314,0
1,0,2030314,0
0,1,2030315,1
1,1,2030315,1
0,1,2030315,1
0,1,2030315,1
0,0,2030316,0
0,0,2030316,0
0,0,2030316,0
0,1,2030317,1
0,1,2030317,1
0,1,2030317,1
0,0,2030318,0
0,0,2030318,0
0,0,2030318,0
1,0,2030319,1
0,0,2030319,1
1,0,2030319,1
0,0,2030319,1
1,1,2030320,1
1,1,2030320,1
1,1,2030320,1
1,1,2030320,1
0,0,2030321,1
1,0,2030321,1
0,0,2030321,1
1,0,2030321,1
1,1,2030322,1
1,1,2030322,1
0,1,2030322,1
1,1,2030322,1
0,1,2030323,1
0,1,2030323,1
0,1,2030323,1
0,1,2030323,1
1,1,2030324,1
1,1,2030324,1
1,1,2030324,1
1,1,2030324,1
1,0,2030325,0
1,0,2030325,0
1,0,2030325,0
1,0,2030325,0
1,1,2030326,1
0,1,2030326,1
1,1,2030326,1
0,1,2030326,1
1,0,2030327,1
1,0,2030327,1
0,0,2030327,1
1,0,2030327,1
0,0,2030328,0
0,0,2030328,0
0,0,2030328,0
0,0,2030328,0
1,0,2030329,0
0,0,2030329,0
1,0,2030329,0
1,0,2030329,0
0,0,2040434,1
0,0,2040434,1
0,0,2040434,1
0,0,2040434,1
1,1,2040435,1
1,1,2040435,1
1,1,2040435,1
1,1,2040435,1
0,1,2040436,1
0,1,2040436,1
1,1,2040436,1
1,1,2040436,1
0,0,2040437,0
0,0,2040437,0
0,0,2040437,0
1,0,2040437,0
0,0,2040438,0
0,0,2040438,0
0,0,2040438,0
0,0,2040438,0
0,1,2040439,1
1,1,2040439,1
0,1,2040439,1
0,1,2040439,1
1,1,2040440,1
0,1,2040440,1
0,1,2040440,1
1,1,2040440,1
1,0,2040441,1
1,0,2040441,1
1,0,2040441,1
1,0,2040441,1
1,1,2040442,1
1,1,2040442,1
1,1,2040442,1
1,1,2040442,1
1,0,2040443,1
0,0,2040443,1
0,0,2040443,1
1,0,2040443,1
1,0,2040444,0
1,0,2040444,0
1,0,2040444,0
1,0,2040444,0
1,1,2040445,1
1,1,2040445,1
1,1,2040445,1
1,0,2040446,0
0,0,2040446,0
1,0,2040446,0
1,1,2040447,1
1,1,2040447,1
1,1,2040447,1
1,1,2040448,1
1,1,2040448,1
1,1,2040448,1
1,1,2040448,1
1,1,2040449,1
1,1,2040449,1
1,1,2040449,1
1,1,2040449,1
1,1,2050450,1
1,1,2050450,1
1,1,2050450,1
1,1,2050450,1
1,0,2050452,0
0,0,2050452,0
1,0,2050452,0
1,0,2050452,0
1,1,2050454,1
1,1,2050454,1
1,1,2050454,1
1,1,2050454,1
1,0,2050456,0
1,0,2050456,0
1,0,2050456,0
1,0,2050456,0
0,1,2050458,1
0,1,2050458,1
1,1,2050458,1
0,1,2050458,1
1,0,2050459,1
1,0,2050459,1
1,0,2050459,1
1,0,2050459,1
1,1,2050460,1
1,1,2050460,1
1,1,2050460,1
1,1,2050460,1
0,0,2050461,0
0,0,2050461,0
0,0,2050461,0
1,0,2050462,0
0,0,2050462,0
1,0,2050462,0
0,1,3010101,1
1,1,3010101,1
1,1,3010101,1
1,1,3010101,1
1,0,3010102,0
0,0,3010102,0
1,0,3010102,0
1,0,3010102,0
0,1,3010107,1
0,1,3010107,1
0,1,4030302,1
1,1,4030302,1
0,1,4030302,1
1,0,4030304,1
1,0,4030304,1
1,0,4030304,1
1,0,4030304,1
0,0,4030306,0
1,0,4030306,0
1,0,4030306,0
1,0,4030306,0
1,1,4030307,1
1,1,4030307,1
1,1,4030307,1
1,1,4030307,1
1,0,4030308,0
1,0,4030308,0
0,0,4030308,0
1,0,4030308,0
1,0,4030309,0
0,0,4030309,0
0,0,4030309,0
1,0,4030309,0
1,1,4030310,1
1,1,4030310,1
1,1,4030310,1
1,1,4030310,1
1,1,4030311,1
0,1,4030311,1
0,1,4030311,1
1,1,4030311,1
1,1,4030312,1
0,1,4030312,1
1,1,4030312,1
1,1,4030312,1
1,1,4030313,1
1,1,4030313,1
0,1,4030313,1
1,1,4030313,1
1,0,4030314,1
1,0,4030314,1
1,0,4030314,1
1,0,4030314,1
0,0,4030315,0
0,0,4030315,0
0,0,4030315,0
1,0,4030315,0
1,1,4030316,1
1,1,4030316,1
1,1,4030316,1
1,1,4030316,1
1,1,4030317,1
1,1,4030317,1
0,1,4030317,1
1,1,4030317,1
1,1,4030318,1
1,1,4030318,1
1,1,4030318,1
1,1,4030318,1
1,1,4030320,1
1,1,4030320,1
1,1,4030320,1
1,1,4030320,1
0,0,4030321,0
1,0,4030321,0
0,0,4030321,0
0,0,4030322,0
0,0,4030322,0
0,0,4030322,0
0,0,4030322,0
1,1,4030323,1
1,1,4030323,1
1,1,4030323,1
1,1,4030323,1
0,0,4030324,0
0,0,4030324,0
1,0,4030324,0
1,0,4030324,0
0,0,4030325,0
0,0,4030325,0
0,0,4030325,0
0,0,4030325,0
1,1,4030326,1
0,1,4030326,1
1,1,4030326,1
0,1,4030326,1
0,1,4030327,1
1,1,4030327,1
1,1,4030327,1
0,1,4030327,1
1,1,4030328,1
1,1,4030328,1
1,1,4030328,1
1,1,4030328,1
0,0,4030329,0
1,0,4030329,0
0,0,4030329,0
0,0,4030329,0
1,1,4030330,1
1,1,4030330,1
1,1,4030330,1
0,1,4030330,1
1,0,4030331,0
1,0,4030331,0
0,0,4030331,0
0,0,4030331,0
1,0,4030332,1
0,0,4030332,1
1,0,4030332,1
1,0,4030332,1
1,1,4030334,1
1,1,4030334,1
1,1,4030334,1
1,1,4030334,1
1,1,4030336,1
1,1,4030336,1
1,1,4030336,1
1,1,4030336,1
1,1,4030338,1
1,1,4030338,1
1,1,4030338,1
1,1,4040431,1
1,1,4040431,1
1,1,4040432,1
1,1,4040432,1
1,1,4040432,1
1,1,4040432,1
1,1,4040434,1
1,1,4040434,1
1,1,4040434,1
1,1,4040434,1
1,0,4040436,0
1,0,4040436,0
1,0,4040436,0
1,0,4040436,0
1,0,4040438,0
1,0,4040438,0
1,0,4040438,0
1,0,5010103,0
1,0,5010103,0
1,0,5010103,0
1,0,5010103,0
1,1,5010104,1
1,1,5010104,1
1,1,5010104,1
1,0,5010105,0
1,0,5010105,0
1,0,5010105,0
1,0,5010105,0
1,0,5010106,0
1,0,5010106,0
1,0,5010106,0
1,0,5010106,0
1,1,5010107,1
1,1,5010107,1
1,1,5010107,1
1,1,5010107,1
1,1,5010108,1
1,1,5010108,1
1,1,5010108,1
1,1,5010108,1
1,1,5010109,1
1,1,5010109,1
1,1,5010109,1
1,1,5010109,1
1,1,5010110,1
1,1,5010110,1
1,1,5010110,1
1,1,5010110,1
1,0,5010111,1
1,0,5010111,1
1,0,5010111,1
1,0,5010111,1
1,0,5010112,0
1,0,5010112,0
1,0,5010112,0
1,0,5010112,0
1,1,5010114,1
1,1,5010114,1
1,1,5010114,1
1,1,5010114,1
1,1,5010119,1
1,1,5010119,1
1,1,5010119,1
1,1,5010119,1
1,1,5010121,1
1,1,5010121,1
1,1,5010121,1
1,1,5010121,1
1,0,5010123,0
1,0,5010123,0
1,0,5010123,0
1,0,5010123,0
1,1,5010124,1
1,1,5010124,1
1,1,5010124,1
1,1,5010124,1
1,0,5010125,0
1,0,5010125,0
1,0,5010125,0
1,0,5010125,0
1,0,5010126,0
1,0,5010126,0
0,0,5010126,0
0,0,5010126,0
1,1,5010127,1
1,1,5010127,1
1,1,5010127,1
1,1,5010127,1
1,1,5010128,1
1,1,5010128,1
1,1,5010128,1
1,1,5010128,1
1,0,5010129,0
1,0,5010129,0
1,0,5010129,0
1,0,5010129,0
1,0,5010130,0
1,0,5010130,0
1,0,5010130,0
1,0,5010130,0
1,0,5010131,0
1,0,5010131,0
1,0,5010131,0
0,0,5010131,0
1,0,5010133,0
1,0,5010133,0
1,0,5010133,0
1,0,5010133,0
0,0,5010135,0
1,0,5010135,0
1,0,5010135,0
1,0,5010135,0
1,0,5010137,0
0,0,5010137,0
0,0,5010137,0
0,0,5010137,0
0,1,5010139,1
1,1,5010139,1
0,1,5010139,1
0,1,5010139,1
1,0,5010142,1
1,0,5010142,1
1,0,5010142,1
0,0,5010142,1
1,1,5010143,1
1,1,5010143,1
1,1,5010143,1
1,1,5010143,1
1,1,5010144,1
1,1,5010144,1
0,1,5010144,1
1,1,5010144,1
1,1,5010145,1
1,1,5010145,1
1,1,5010145,1
1,1,5010145,1
0,0,5020204,0
0,0,5020204,0
0,0,5020204,0
0,0,5020204,0
1,1,5020205,1
1,1,5020205,1
1,1,5020205,1
0,1,5020205,1
1,1,5020206,1
1,1,5020206,1
1,1,5020206,1
1,1,5020206,1
1,1,5020207,1
0,1,5020207,1
1,1,5020207,1
1,1,5020207,1
0,0,5020208,0
1,0,5020208,0
0,0,5020208,0
0,0,5020208,0
1,1,5020209,1
1,1,5020209,1
1,1,5020209,1
1,1,5020209,1
1,1,5020210,1
1,1,5020210,1
1,1,5020210,1
0,1,5020210,1
1,0,5020211,1
0,0,5020211,1
0,0,5020211,1
0,0,5020211,1
1,1,5020212,1
1,1,5020212,1
1,1,5020212,1
1,1,5020212,1
1,0,5020214,0
0,0,5020214,0
0,0,5020214,0
0,0,5020214,0
1,0,5020218,0
0,0,5020218,0
0,0,5020218,0
0,0,5020218,0
1,1,5020219,1
1,1,5020219,1
1,1,5020219,1
0,1,5020219,1
0,1,5020220,1
0,1,5020220,1
1,1,5020220,1
1,1,5020220,1
0,0,5020221,1
0,0,5020221,1
0,0,5020221,1
0,0,5020221,1
0,1,5020222,1
0,1,5020222,1
0,1,5020222,1
0,1,5020222,1
0,0,5020223,0
0,0,5020223,0
0,0,5020223,0
1,0,5020223,0
1,1,5020224,1
1,1,5020224,1
1,1,5020224,1
1,1,5020224,1
1,1,5020225,1
1,1,5020225,1
1,1,5020225,1
1,1,5020225,1
1,1,5020226,1
1,1,5020226,1
1,1,5020226,1
1,1,5020226,1
1,0,5020227,0
1,0,5020227,0
1,0,5020227,0
1,0,5020227,0
1,1,5020228,1
1,1,5020228,1
1,1,5020228,1
1,1,5020228,1
1,0,5020229,0
1,0,5020229,0
1,0,5020229,0
1,0,5020229,0
1,1,5020230,1
1,1,5020230,1
1,1,5020230,1
1,1,5020230,1
1,1,5020231,1
1,1,5020231,1
1,1,5020231,1
1,1,5020231,1
1,1,5020233,1
1,1,5020233,1
1,1,5020233,1
1,1,5020233,1
1,1,5020235,1
1,1,5020235,1
1,1,5020235,1
1,1,5020235,1
1,1,5020237,1
1,1,5020237,1
1,1,5020237,1
1,1,5020237,1
1,0,5020239,1
1,0,5020239,1
1,0,5020239,1
1,0,5020239,1
1,1,5020242,1
1,1,5020242,1
1,1,5020242,1
1,1,5020242,1
1,0,5020243,1
1,0,5020243,1
1,0,5020243,1
1,0,5020243,1
1,0,5020244,1
1,0,5020244,1
1,0,5020244,1
1,0,5020244,1
1,1,5020245,1
1,1,5020245,1
1,1,5020245,1
1,1,5020245,1
1,0,5020246,1
1,0,5020246,1
1,0,5020246,1
1,0,5020246,1
1,1,5020247,1
1,1,5020247,1
1,1,5020247,1
1,1,5020247,1
1,1,5020248,1
1,1,5020248,1
1,1,5020248,1
1,1,5020248,1
1,0,5020249,0
1,0,5020249,0
1,0,5020249,0
1,0,5020249,0
1,0,5030301,0
1,0,5030301,0
1,0,5030301,0
1,0,5030301,0
1,1,5030302,1
1,1,5030302,1
1,1,5030302,1
0,1,5030302,1
1,0,5030303,0
1,0,5030303,0
0,0,5030303,0
1,0,5030303,0
1,0,5030304,0
1,0,5030304,0
0,0,5030304,0
1,0,5030304,0
1,0,5030305,0
1,0,5030305,0
1,0,5030305,0
1,0,5030305,0
1,1,5030306,1
0,1,5030306,1
1,1,5030306,1
1,1,5030306,1
1,1,5030307,1
1,1,5030307,1
1,1,5030307,1
1,1,5030307,1
0,0,5030308,1
0,0,5030308,1
1,0,5030308,1
0,0,5030308,1
1,1,5030309,1
1,1,5030309,1
1,1,5030309,1
1,1,5030309,1
0,0,5030310,0
0,0,5030310,0
1,0,5030310,0
0,0,5030310,0
1,1,5030311,1
1,1,5030311,1
0,1,5030311,1
1,1,5030311,1
1,1,5030312,1
0,1,5030312,1
1,1,5030312,1
0,1,5030312,1
1,1,5030314,1
1,1,5030314,1
1,1,5030314,1
1,1,5030314,1
1,1,5030318,1
1,1,5030318,1
1,1,5030318,1
1,1,5030318,1
1,0,5030319,0
1,0,5030319,0
1,0,5030319,0
1,0,5030319,0
1,1,5030320,1
0,1,5030320,1
1,1,5030320,1
1,1,5030320,1
1,1,5030321,1
1,1,5030321,1
1,1,5030321,1
1,1,5030321,1
1,1,5030322,1
1,1,5030322,1
0,1,5030322,1
1,1,5030322,1
1,1,5030323,1
1,1,5030323,1
1,1,5030323,1
1,1,5030323,1
1,0,5030324,0
1,0,5030324,0
1,0,5030324,0
1,0,5030324,0
1,1,5030325,1
1,1,5030325,1
1,1,5030325,1
1,1,5030325,1
0,0,5030326,0
1,0,5030326,0
0,0,5030326,0
1,0,5030326,0
1,0,5030327,0
1,0,5030327,0
1,0,5030327,0
1,0,5030327,0
1,0,5030328,0
1,0,5030328,0
1,0,5030328,0
1,0,5030328,0
0,0,5030329,1
1,0,5030329,1
0,0,5030329,1
1,0,5030329,1
1,0,5030330,1
1,0,5030330,1
1,0,5030330,1
1,0,5030330,1
1,1,5030331,1
1,1,5030331,1
1,1,5030331,1
1,1,5030331,1
1,1,5030333,1
1,1,5030333,1
1,1,5030333,1
1,1,5030333,1
1,0,5030335,1
1,0,5030335,1
1,0,5030335,1
1,0,5030335,1
1,0,5030337,0
1,0,5030337,0
1,0,5030337,0
1,0,5030337,0
1,1,5030339,1
1,1,5030339,1
1,1,5030339,1
1,1,5030339,1
1,0,5030342,0
1,0,5030342,0
1,0,5030342,0
1,0,5030342,0
1,1,5030343,1
1,1,5030343,1
1,1,5030343,1
1,1,5030343,1
1,1,5030344,1
1,1,5030344,1
1,1,5030344,1
1,1,5030344,1
1,0,5030345,0
1,0,5030345,0
1,0,5030345,0
1,0,5030345,0
1,0,5030346,0
1,0,5030346,0
1,0,5030346,0
1,0,5030346,0
1,1,5030347,1
1,1,5030347,1
1,1,5030347,1
1,1,5030347,1
1,1,5030347,1
1,0,5030349,0
1,0,5030349,0
1,0,5030349,0
1,0,5030349,0
1,1,5040401,1
1,1,5040401,1
1,1,5040401,1
1,1,5040401,1
1,0,5040402,0
1,0,5040402,0
1,0,5040402,0
1,0,5040402,0
1,0,5040403,0
1,0,5040403,0
1,0,5040403,0
1,0,5040403,0
1,1,5040404,1
1,1,5040404,1
1,1,5040404,1
1,1,5040404,1
1,0,5040405,1
1,0,5040405,1
1,0,5040405,1
1,0,5040405,1
1,0,5040406,1
1,0,5040406,1
1,0,5040406,1
1,0,5040406,1
1,1,5040407,1
1,1,5040407,1
1,1,5040407,1
1,1,5040407,1
1,0,5040408,0
1,0,5040408,0
1,0,5040408,0
1,0,5040408,0
1,0,5040409,0
1,0,5040409,0
1,0,5040409,0
1,0,5040409,0
1,0,5040410,0
1,0,5040410,0
1,0,5040410,0
1,0,5040410,0
1,1,5040411,1
1,1,5040411,1
1,1,5040411,1
1,1,5040411,1
1,1,5040412,1
1,1,5040412,1
1,1,5040412,1
1,1,5040412,1
1,0,5040414,0
1,0,5040414,0
1,0,5040414,0
1,0,5040414,0
1,0,5040418,1
1,0,5040418,1
1,0,5040418,1
1,0,5040418,1
1,0,5040419,0
1,0,5040419,0
1,0,5040419,0
1,0,5040419,0
1,1,5040420,1
1,1,5040420,1
0,1,5040420,1
1,1,5040420,1
1,0,5040421,0
1,0,5040421,0
0,0,5040421,0
1,0,5040421,0
0,0,5040422,0
1,0,5040422,0
0,0,5040422,0
1,0,5040422,0
1,1,5040423,1
1,1,5040423,1
1,1,5040423,1
1,1,5040423,1
1,1,6010129,1
1,1,6010129,1
1,1,6010129,1
1,1,6010129,1
1,1,6010130,1
1,1,6010130,1
1,1,6010130,1
1,1,6010130,1
1,1,6010132,1
1,1,6010132,1
1,1,6010132,1
1,1,6010132,1
1,1,6010134,1
1,1,6010134,1
1,1,6010134,1
1,1,6010134,1
1,1,6010136,1
1,1,6010136,1
1,1,6010136,1
1,1,6010136,1
1,0,6010138,0
1,0,6010138,0
1,0,6010138,0
1,0,6010138,0
1,0,6010140,1
1,0,6010140,1
1,0,6010140,1
1,0,6010140,1
1,1,6010142,1
1,1,6010142,1
1,1,6010142,1
1,1,6010142,1
1,1,6010143,1
1,1,6010143,1
1,1,6010143,1
1,1,6010143,1
1,1,6010144,1
1,1,6010144,1
1,1,6010144,1
1,1,6010144,1
1,1,6010145,1
1,1,6010145,1
1,1,6010145,1
0,1,6010145,1
1,1,6010146,1
1,1,6010146,1
1,1,6010146,1
1,1,6010146,1
1,1,6010147,1
1,1,6010147,1
1,1,6010147,1
1,1,6010147,1
0,1,6010148,1
0,1,6010148,1
0,1,6010148,1
1,1,6010148,1
0,0,6010149,0
1,0,6010149,0
0,0,6010149,0
1,0,6010149,0
1,1,6020201,1
1,1,6020201,1
1,1,6020201,1
1,1,6020201,1
1,1,6020202,1
1,1,6020202,1
1,1,6020202,1
1,1,6020202,1
0,1,6020203,1
0,1,6020203,1
1,1,6020203,1
1,1,6020203,1
1,0,6020251,0
